ID,名刺画像ファイル名（表）,名刺画像ファイル名（裏）,回答日時,テスト回答,Q.01_社員CD（8桁）,Q.02_お客様の主な業界,Q.03_打ち合わせ種類（複数選択可）,Q.04_【打合せ内容】フリー入力,Q.05_【打合せ内容】イメージ図・ポンチ絵,Q.06_【打合せ内容】緊急度（複数選択可）,Q.07_【打合せ内容】営業フォロー担当者（例：支店名＋営業氏名）,Q.08_【案件情報】案件名（ライン名・装置名など）,Q.09_【案件情報】必要時期(見込時期),Q.10_【案件情報】案件種別,Q.11_【案件情報】開発要望（THKに対する新製品の開発要望があればチェックを入れてください。）,Q.12_カタログの請求：総合,Q.13_カタログ請求：要素部品,Q.14_カタログ請求：事業開発,Q.15_カタログ請求：IMT,Q.16_カタログの請求：フリー入力(上記カタログ以外の場合)
445,0008000091_00016_1.jpg,0008000091_00016_2.jpg,2025/4/9 10:12,通常回答,11006137,半導体/液晶,要素部品,テスト,手書きデータ,挨拶・売込み,なし,テスト,それ以降,開発（試作）,開発要望あり,会社案内 / 50-30,世界標準LMｶﾞｲﾄﾞ HSR / 440/高加減速対応 低摺動 ﾐﾆﾁｭｱLMｶﾞｲﾄﾞ (形番:AHR) / 442,ﾕｰﾃｨﾘﾃｨｽﾗｲﾄﾞ ATG / C-06-1,RMR紹介ﾘｰﾌﾚｯﾄ / L-85-1,テスト
448,0008000091_00017_1.jpg,,2025/4/9 10:18,通常回答,11014062,電気/電子部品,VTS･GLM,"善明新工場
2027年竣工
コンセプトとして無人化ラインを目指す
変化の激しい時代なので
いかに少量多品種に対応できるか
VTSのモジュール足し引きの考え方に興味を持って頂く
",手書きデータ,説明員判断でフォローが必要,,,6ヶ月以内,開発（試作）,,,,,,
450,0008000091_00018_1.jpg,,2025/4/9 10:24,通常回答,11022121,その他,要素部品,"CWG に興味あり。オーバル型でリニア駆動のものを展示会で見たそう。今回の展示会では展示,カタログがなかったので具体的な紹介できず。",手書きデータ,説明員判断でフォローが必要,,,それ以降,今回限り,,,,,,CWG
451,0008000091_00019_1.jpg,0008000091_00019_2.jpg,2025/4/9 10:24,通常回答,1101158,一般産業機械,要素部品,普段装置メーカから装置を買ってメンテナンスをお願いしているが、自分達で交換作業できるようにしたい。加工現場のため環境が悪いので防塵オプションの紹介。,手書きデータ,カタログ希望、情報収集,,,,今回限り,,,,,,
452,0008000091_00020_1.jpg,0008000091_00020_2.jpg,2025/4/9 10:24,通常回答,1101158,一般産業機械,要素部品,普段装置メーカから装置を買ってメンテナンスをお願いしているが、自分達で交換作業できるようにしたい。加工現場のため環境が悪いので防塵オプションの紹介。,手書きデータ,カタログ希望、情報収集,,,,今回限り,,,,,,
453,0008000091_00021_1.jpg,,2025/4/9 10:24,通常回答,11021074,工作機械,要素部品,"現場の方。
ユーザーから要望等上がってくるが、
仕様等は設計部署へ。
粉塵対策が1番ユーザーから上がってくる要望が多い。",手書きデータ,挨拶・売込み,,,,,,,,,,
454,0008000091_00022_1.jpg,,2025/4/9 10:25,通常回答,11021074,工作機械,要素部品,"現場の方。
ユーザーから要望等上がってくるが、
仕様等は設計部署へ。
粉塵対策が1番ユーザーから上がってくる要望が多い。",手書きデータ,挨拶・売込み,,,,,,,,,,
455,0008000091_00023_1.jpg,,2025/4/9 10:25,通常回答,11021074,工作機械,要素部品,"現場の方。
ユーザーから要望等上がってくるが、
仕様等は設計部署へ。
粉塵対策が1番ユーザーから上がってくる要望が多い。",手書きデータ,挨拶・売込み,,,,,,,,,,
456,0008000091_00024_1.jpg,,2025/4/9 10:25,通常回答,11021074,工作機械,要素部品,"現場の方。
ユーザーから要望等上がってくるが、
仕様等は設計部署へ。
粉塵対策が1番ユーザーから上がってくる要望が多い。",手書きデータ,挨拶・売込み,,,,,,,,,,
457,0008000091_00025_1.jpg,0008000091_00025_2.jpg,2025/4/9 10:25,通常回答,1101158,一般産業機械,要素部品,普段装置メーカから装置を買ってメンテナンスをお願いしているが、自分達で交換作業できるようにしたい。加工現場のため環境が悪いので防塵オプションの紹介。,手書きデータ,カタログ希望、情報収集,,,,今回限り,,,,,,
459,0008000091_00026_1.jpg,,2025/4/9 10:25,通常回答,11021074,工作機械,要素部品,"現場の方。
ユーザーから要望等上がってくるが、
仕様等は設計部署へ。
粉塵対策が1番ユーザーから上がってくる要望が多い。",手書きデータ,挨拶・売込み,,,,,,,,,,
460,0008000091_00027_1.jpg,,2025/4/9 10:26,通常回答,11012066,一般産業機械,要素部品,"派遣として設計を担当されています。
展示会の展示台？の様な設計で
引き出しの様な機構を選定予定。
",手書きデータ,説明員判断でフォローが必要,,,6ヶ月以内,今回限り,,,,,,
461,0008000091_00028_1.jpg,0008000091_00028_2.jpg,2025/4/9 10:26,通常回答,1101158,一般産業機械,要素部品,普段装置メーカから装置を買ってメンテナンスをお願いしているが、自分達で交換作業できるようにしたい。加工現場のため環境が悪いので防塵オプションの紹介。,手書きデータ,カタログ希望、情報収集,,,,今回限り,,,,,,
462,0008000091_00029_1.jpg,,2025/4/9 10:26,通常回答,11012066,一般産業機械,要素部品,"派遣として設計を担当されています。
展示会の展示台？の様な設計で
引き出しの様な機構を選定予定。
",手書きデータ,説明員判断でフォローが必要,,,6ヶ月以内,今回限り,,,,,,
463,0008000091_00030_1.jpg,,2025/4/9 10:26,通常回答,11021074,工作機械,要素部品,"現場の方。
ユーザーから要望等上がってくるが、
仕様等は設計部署へ。
粉塵対策が1番ユーザーから上がってくる要望が多い。",手書きデータ,挨拶・売込み,,,,,,,,,,
464,0008000091_00031_1.jpg,,2025/4/9 10:26,通常回答,11021074,工作機械,要素部品,"現場の方。
ユーザーから要望等上がってくるが、
仕様等は設計部署へ。
粉塵対策が1番ユーザーから上がってくる要望が多い。",手書きデータ,挨拶・売込み,,,,,,,,,,
465,0008000091_00032_1.jpg,0008000091_00032_2.jpg,2025/4/9 10:28,通常回答,11096201,工作機械,要素部品,,手書きデータ,カタログ希望、情報収集,,,,,,,,,,
466,0008000091_00033_1.jpg,,2025/4/9 10:30,通常回答,11024544,工作機械,アクチュエータ,現在ドアの自動開閉にアクチュエーターを使用。軽量化のニーズあり,手書きデータ,説明員判断でフォローが必要,,,,,,,,,,
468,0008000091_00034_1.jpg,,2025/4/9 10:33,通常回答,11021074,工作機械,要素部品,"現場の方。
ユーザーから要望等上がってくるが、
仕様等は設計部署へ。
粉塵対策が1番ユーザーから上がってくる要望が多い。",手書きデータ,挨拶・売込み,,,,,,,,,,
469,0008000091_00035_1.jpg,,2025/4/9 10:34,通常回答,11023080,工作機械,要素部品,"スーパーバイザーの服部様にセミナーの啓蒙を行いました。
製造現場に展開していただけるとのことですり",手書きデータ,挨拶・売込み,,,,,,,,,,
470,0008000091_00036_1.jpg,,2025/4/9 10:37,通常回答,11024061,輸送機器（自動車等）,要素部品,"ガイド、ボールネジ勉強目的で来展。
入社2年目とのことで選定の基準知りたいとのことでガイドとボールネジの役割、大まかな選定基準を説明。",手書きデータ,挨拶・売込み,豊田支店 岡和田,,,今回限り,,,,,,
471,0008000091_00037_1.jpg,,2025/4/9 10:37,通常回答,11012066,一般産業機械,要素部品,"派遣として設計を担当されています。
展示会の展示台？の様な設計で
引き出しの様な機構を選定予定。
",手書きデータ,説明員判断でフォローが必要,,,6ヶ月以内,今回限り,,,,,,
473,0008000091_00038_1.jpg,,2025/4/9 10:42,通常回答,11014062,輸送機器（自動車等）,要素部品,"電池開発
部品選定も行う
電池ラインで今後THKに求める事は高耐食
オーステナイト系SUS使いたい
提案希望",手書きデータ,カタログ希望、情報収集,,,それ以降,開発（試作）,,,,,,
475,0008000091_00039_1.jpg,,2025/4/9 10:45,通常回答,11020070,電気/電子部品,ﾕﾆｯﾄ(精密ｽﾃｰｼﾞ・ﾋﾟｴｿﾞｽﾃｰｼﾞ)/SIGNAS,"情報収集のため来場
生産技術の仕事をしているため、自動化に興味あり。
カスタムユニットに非常に興味を示されていたため、ユニット事業についてご説明。

部署への訪問で自動化案件が出てくる可能性はあると考える。",手書きデータ,説明員判断でフォローが必要,,,それ以降,,,,,,,
476,0008000091_00040_1.jpg,,2025/4/9 10:46,通常回答,11024544,輸送機器（自動車等）,アクチュエータ,コンテナ移載の自動化のニーズあり,手書きデータ,営業打合せ希望(THK要望),,,,開発（試作）,,,,,,KRカタログ
477,0008000091_00041_1.jpg,,2025/4/9 10:47,通常回答,11023080,工作機械,要素部品,木やセラミックの加工機にガイドを使用している。細かく軽い粉塵が侵入するため異物対策に苦労しているとのこと。Lacsやプロテクタをご紹介。,手書きデータ,説明員判断でフォローが必要,,,,,,,,,,
478,0008000091_00042_1.jpg,,2025/4/9 10:49,通常回答,11021074,輸送機器（自動車等）,要素部品,"社内設備設計の方。
樹脂系の仕事が多く、たまに高温環境がたまに
部署の中でもメーカー等は自由に設計
納期問題からIKOが多い",手書きデータ,説明員判断でフォローが必要,,,,,,,,,,
479,0008000091_00043_1.jpg,,2025/4/9 10:49,通常回答,11090010,一般産業機械,要素部品,電池仕様,手書きデータ,カタログ希望、情報収集,,,それ以降,,,,,,,
480,0008000091_00044_1.jpg,,2025/4/9 10:51,通常回答,11021074,輸送機器（自動車等）,要素部品,"三宅さんと来訪
最近稲沢工場へ。
今後社内設備設計していく予定",手書きデータ,挨拶・売込み,名古屋支店 西村,,,,,,,,,
481,0008000091_00045_1.jpg,,2025/4/9 10:51,通常回答,11090010,一般産業機械,要素部品,電池仕様,手書きデータ,カタログ希望、情報収集,,,それ以降,,,,,,,
482,0008000091_00046_1.jpg,,2025/4/9 10:52,通常回答,11090010,一般産業機械,要素部品,電池仕様,手書きデータ,カタログ希望、情報収集,,,それ以降,,,,,,,
484,0008000091_00047_1.jpg,,2025/4/9 10:53,通常回答,11090010,一般産業機械,要素部品,電池仕様,手書きデータ,カタログ希望、情報収集,,,それ以降,,,,,,,
485,0008000091_00048_1.jpg,,2025/4/9 11:00,通常回答,11017069,その他,要素部品,"松永製作所　挨拶
コンシューマー製品紹介
BB、ATGを紹介→車椅子に使えそうだがサイズが大きいとのこと",手書きデータ,営業打合せ希望(THK要望),小牧支店河邊,車椅子要素部品提案,1年以内,今回限り,開発要望あり,,,,,
486,0008000091_00049_1.jpg,,2025/4/9 11:01,通常回答,11020070,電気/電子部品,ﾕﾆｯﾄ(精密ｽﾃｰｼﾞ・ﾋﾟｴｿﾞｽﾃｰｼﾞ),"ロッキングステージに興味あり。
パンフレット配布済み、
カメラのフォーカスで最後の位置調整で使用したいとのこと

担当の営業の方には、引き続きのフォロー
をお願いしたい。",手書きデータ,説明員判断でフォローが必要,,,,,,,,,,
488,0008000091_00050_1.jpg,,2025/4/9 11:03,通常回答,11023080,一般産業機械,要素部品,組み付けセミナーの啓蒙を行いました,手書きデータ,挨拶・売込み,,,,,,,,,,
489,0008000091_00051_1.jpg,,2025/4/9 11:04,通常回答,11021074,一般産業機械,要素部品,"QZ、潤滑について紹介
ユーザーから無給油要望の話が多い",手書きデータ,挨拶・売込み,名古屋支店 藤岡,,,,,,,,,
490,0008000091_00052_1.jpg,,2025/4/9 11:04,通常回答,11021074,一般産業機械,要素部品,"QZ、潤滑について紹介
ユーザーから無給油要望の話が多い",手書きデータ,挨拶・売込み,名古屋支店 藤岡,,,,,,,,,
491,0008000091_00053_1.jpg,,2025/4/9 11:07,通常回答,11096201,その他,該当なし,,手書きデータ,挨拶・売込み,,,,,,,,,,
492,0008000091_00054_1.jpg,,2025/4/9 11:07,通常回答,11096201,その他,該当なし,,手書きデータ,挨拶・売込み,,,,,,,,,,
493,0008000091_00055_1.jpg,0008000091_00055_2.jpg,2025/4/9 11:09,通常回答,11019158,工作機械,アクチュエータ,木材の押し付けに電動プレスの検討。既に打合せ済だが、実際に製品の動いているところを見れるから訪問しにきた。,手書きデータ,営業打合せ希望(客先要望),名古屋支店西村,,3ヶ月以内,開発（試作）,,,,,PC/DSP紹介ﾘｰﾌﾚｯﾄ / L-53,
494,0008000091_00056_1.jpg,0008000091_00056_2.jpg,2025/4/9 11:09,通常回答,11096201,その他,要素部品,,手書きデータ,カタログ希望、情報収集,,,,,,,,,,
495,0008000091_00057_1.jpg,0008000091_00057_2.jpg,2025/4/9 11:09,通常回答,11096201,その他,要素部品,,手書きデータ,カタログ希望、情報収集,,,,,,,,,,
497,0008000091_00058_1.jpg,0008000091_00058_2.jpg,2025/4/9 11:12,通常回答,11019158,一般産業機械,要素部品,LMガイド使用。縦使用だが、ガタがありこじることが多い。軽く動かしたいためATG、ARGの見学。縦使用には向かないので、LMの予圧品やUGRの提案が必要。,手書きデータ,説明員判断でフォローが必要,,,,,,,,,,
498,0008000091_00059_1.jpg,0008000091_00059_2.jpg,2025/4/9 11:12,通常回答,11019158,一般産業機械,要素部品,LMガイド使用。縦使用だが、ガタがありこじることが多い。軽く動かしたいためATG、ARGの見学。縦使用には向かないので、LMの予圧品やUGRの提案が必要。,手書きデータ,説明員判断でフォローが必要,,,,,,,,,,
500,0008000091_00060_1.jpg,,2025/4/9 11:13,通常回答,11020070,その他,要素部品/ﾕﾆｯﾄ(精密ｽﾃｰｼﾞ・ﾋﾟｴｿﾞｽﾃｰｼﾞ),"情報収集のため来場
愛知県に工場新設の話があるとのこと。
thk製品も使用しているとのことで、現在は中国メインなので中国メーカーの製品を多く使用とのことだが、日本に工場をたてた場合は日本のメーカーの部品を使用していきたいとのこと",手書きデータ,カタログ希望、情報収集,,,,,,,,,,
503,0008000091_00061_1.jpg,,2025/4/9 11:14,通常回答,11092184,その他,要素部品,,手書きデータ,挨拶・売込み,,,,,,,,,,
504,0008000091_00062_1.jpg,,2025/4/9 11:15,通常回答,11092184,その他,要素部品,,手書きデータ,挨拶・売込み,,,,,,,,,,
506,0008000091_00063_1.jpg,,2025/4/9 11:15,通常回答,11092184,その他,要素部品,,手書きデータ,挨拶・売込み,,,,,,,,,,
507,0008000091_00064_1.jpg,,2025/4/9 11:16,通常回答,11092184,その他,要素部品,,手書きデータ,挨拶・売込み,,,,,,,,,,
510,0008000091_00065_1.jpg,,2025/4/9 11:18,通常回答,11092184,その他,要素部品,,手書きデータ,挨拶・売込み,,,,,,,,,,
511,0008000091_00066_1.jpg,,2025/4/9 11:19,通常回答,11090010,その他,要素部品,"防塵対策の強化
　ＱＺの後付け→回答済み
日本製鐵内の設備開発が今後も環境対策が求められる",手書きデータ,カタログ希望、情報収集,,,それ以降,,,,,,,
512,0008000091_00067_1.jpg,,2025/4/9 11:19,通常回答,11090010,その他,要素部品,"防塵対策の強化
　ＱＺの後付け→回答済み
日本製鐵内の設備開発が今後も環境対策が求められる",手書きデータ,カタログ希望、情報収集,,,それ以降,,,,,,,
513,0008000091_00068_1.jpg,0008000091_00068_2.jpg,2025/4/9 11:21,通常回答,11024061,半導体/液晶,アクチュエータ,アライメント後のウエハの移載装置の設計してた。開発機にSKR採用。昇降軸。今後量産フェーズに入るとのことで、クリーン環境理由でCSKR紹介。検討とのこと。,手書きデータ,営業打合せ希望(客先要望),,ウエハ移載装置の昇降軸,,開発（試作）,,,,,,
514,0008000091_00069_1.jpg,,2025/4/9 11:27,通常回答,11022121,その他,該当なし,ロボットの組み立てシステム(航空機部材への穴あけなど)を作る仕事をしている。THKでも装置を作ることができること(ユニット)を紹介し、川重での実績があることも伝えた。,手書きデータ,挨拶・売込み,小牧支店 山田,,,,,,,,,
517,0008000091_00070_1.jpg,,2025/4/9 11:28,通常回答,11023080,半導体/液晶,要素部品,"クリーン・真空環境向けにグリースレスのクロスローラーリングが欲しいとのこと（IKOの液晶潤滑に興味がある様子）

新入社員向けにクロスローラーリングの組み付けセミナーのご案内",手書きデータ,営業打合せ希望(客先要望)/営業打合せ希望(THK要望)/挨拶・売込み,,,,,開発要望あり,,,,,
522,0008000091_00071_1.jpg,,2025/4/9 11:41,通常回答,11087023,一般産業機械,要素部品,"社内設備プレス機への搬送案内を検討中
訪問後打ち合わせ希望します。
湿気のある環境下、ラジアル方向の荷重のみ",手書きデータ,営業打合せ希望(客先要望),,,3ヶ月以内,今回限り,,,,,,
524,0008000091_00072_1.jpg,0008000091_00072_2.jpg,2025/4/9 11:45,通常回答,11019158,一般産業機械,要素部品,100トンをボールネジ1本で常時押し付けをしたい。同期ができるなら2本でもよいが同期のやり方を教わりたい。あまり特殊にしたくなくて1〜3ヶ月でモノはほしい。,手書きデータ,大至急 営業訪問,,,3ヶ月以内,開発（試作）,,,,,,ボールネジHBNKPタイプ
525,0008000091_00073_1.jpg,0008000091_00073_2.jpg,2025/4/9 11:45,通常回答,11019158,一般産業機械,要素部品,100トンをボールネジ1本で常時押し付けをしたい。同期ができるなら2本でもよいが同期のやり方を教わりたい。あまり特殊にしたくなくて1〜3ヶ月でモノはほしい。,手書きデータ,大至急 営業訪問,,,3ヶ月以内,開発（試作）,,,,,,ボールネジHBNKPタイプ
526,0008000091_00074_1.jpg,0008000091_00074_2.jpg,2025/4/9 11:50,通常回答,11089205,その他,アクチュエータ/ﾕﾆｯﾄ(精密ｽﾃｰｼﾞ・ﾋﾟｴｿﾞｽﾃｰｼﾞ)/PRS･TNH,ロボット関係の市場調査に来場,手書きデータ,挨拶・売込み,,,,,,,,,,
527,0008000091_00075_1.jpg,,2025/4/9 11:51,通常回答,11014062,電気/電子部品,ﾕﾆｯﾄ(精密ｽﾃｰｼﾞ・ﾋﾟｴｿﾞｽﾃｰｼﾞ)/SIGNAS,"社内の物流を自動化させる部署
コンテナ移載機に興味あり
パッケージは魅力
人が乗せ下ろしするところを自動化したい
制御含めて相談したい
SIGNASは別部署になるが検討余地あり
現在はAGV使用しているが、テープのメンテが大変",手書きデータ,説明員判断でフォローが必要,,,1年以内,今回限り,,,,,,
529,0008000091_00076_1.jpg,,2025/4/9 11:55,通常回答,11093153,その他,SIGNAS,1パレット2トンになる。2トン牽引の対応できないか,手書きデータ,説明員判断でフォローが必要,,,,,開発要望あり,,,,,
532,0008000091_00077_1.jpg,,2025/4/9 11:57,通常回答,11090010,半導体/液晶,要素部品,クロスローラーリングをバネの様なものに押し当て、そのトルクの検出方法を相談頂きました。FAとの連携も試みましたが満足頂く回答を出来ていません。,手書きデータ,カタログ希望、情報収集,,,それ以降,,,,,,,
535,0008000091_00078_1.jpg,,2025/4/9 12:01,通常回答,11014062,輸送機器（自動車等）,アクチュエータ,"上郷工場
社内治具検討
過去にIAI選定
自分たちで制御したいので
KRバラ売りで良い
三菱、安川などまちまち
カメラで画像処理検査
駆動軸にIAI",手書きデータ,カタログ希望、情報収集,,,それ以降,,,,,,,
536,0008000091_00079_1.jpg,,2025/4/9 12:03,通常回答,11012066,一般産業機械,要素部品,"サーボプレスをよく使っています。
PC PFAEの概要を説明しました。
直近の案件はありませんが、訪問よろしくお願いします！
ヤスヰは大井さん、中野さんが担当です。
",手書きデータ,説明員判断でフォローが必要,名古屋　黒田さん,,6ヶ月以内,今回限り,,,,,,
537,0008000091_00080_1.jpg,,2025/4/9 12:06,通常回答,11087023,一般産業機械,要素部品,"防塵対策に苦労している
近日中に設備更新の予定もあり、相談希望
オプションカタログ持ち帰り

",手書きデータ,営業打合せ希望(客先要望),,,6ヶ月以内,今回限り,,,,,,
538,0008000091_00081_1.jpg,,2025/4/9 12:07,通常回答,11093153,その他,要素部品,フジマウンターの部品加工業。加工機の保守、改良,手書きデータ,カタログ希望、情報収集,,,,,,直動総合ｶﾀﾛｸﾞ / 515J,,,,
540,0008000091_00082_1.jpg,,2025/4/9 12:12,通常回答,11020519,一般産業機械,要素部品,HDR モーメントに強いもの,手書きデータ,カタログ希望、情報収集,,,3ヶ月以内,,,,,,,HDR
541,0008000091_00083_1.jpg,,2025/4/9 12:18,通常回答,11090010,一般産業機械,要素部品,"積層された真空パックの搬送装置を設計している。四メートル搬送を検討中。
現状は要素部品は一般環境だが、今後を考えると部品の真空仕様も情報が必要。→ブースないで特殊環境仕様を説明済み",手書きデータ,カタログ希望、情報収集,,,それ以降,,,,,,,
543,0008000091_00084_1.jpg,,2025/4/9 12:20,通常回答,11011067,輸送機器（自動車等）,アクチュエータ,"モーターのステータ生産ラインの自動化
現在、ベアリングの圧入管理はしていません。
品質向上のため、圧入管理も検討。
PC + PFAEに興味あり。カタログお渡し済み。",手書きデータ,説明員判断でフォローが必要,,,,,,,,,,
544,,,2025/4/9 12:22,通常回答,11009158,輸送機器（自動車等）,SIGNAS,"自動搬送を今後検討
自動車の試作車体組立、試作の為、人が作業するが、ワークの搬送が手動。
組立場まで自動搬送するロボットはメリットあり、
ただ試作車体組立現場は建屋が古く、今後立替も視野に検討中、その際の情報収集で来場。
すぐの話ではない。",手書きデータ,説明員判断でフォローが必要,"豊田支店
",自動牽引案件（詳細未定）,それ以降,今回限り,,,,,,
545,0008000091_00086_1.jpg,0008000091_00086_2.jpg,2025/4/9 12:23,通常回答,11024061,一般産業機械,要素部品/アクチュエータ,油圧・空圧を使ったクランプ機構をやっている。空圧周辺機器のスペース的な問題で、省スペース化を目的とした電動化の動きありとのこと。,手書きデータ,カタログ希望、情報収集,,,,,,会社案内 / 50-30/直動総合ｶﾀﾛｸﾞ / 515J,,,,
546,0008000091_00087_1.jpg,,2025/4/9 12:24,通常回答,11017069,その他,要素部品,"大津屋経由ユーザー。
密閉環境でボールネジを使用
80度まであがるとのこと。
冷却ボールねじとAFGグリス紹介。
また、ボールねじで異音トラブルあり。（使用十数時間でコツコツ音がなる）
近く大津屋経由て連絡が行くとのこと。
",手書きデータ,営業打合せ希望(THK要望),,,,今回限り,,,,,,
548,0008000091_00088_1.jpg,,2025/4/9 12:30,通常回答,1102454,一般産業機械,SIGNAS,"今年の初めからAMRのテストを開始したところ位置決め精度に懸念がある状況。
テストの結果次第では別工場への横展開の際にシグナスを検討する余地がある",手書きデータ,挨拶・売込み,,,,,,,,,,
552,0008000091_00089_1.jpg,,2025/4/9 12:42,通常回答,11014062,一般産業機械,要素部品/アクチュエータ,"樹脂成形機メーカー
ボールねじφ50〜60くらいを使う
PC紹介",手書きデータ,カタログ希望、情報収集,,,それ以降,,,,,,,
554,0008000091_00090_1.jpg,,2025/4/9 12:52,通常回答,11024061,輸送機器（自動車等）,要素部品,安価な案内部品で良いものあれば担当営業から紹介ほしいとのこと。急ぎの案件は特に無し。,手書きデータ,カタログ希望、情報収集,,,,,,,,,,
555,0008000091_00091_1.jpg,,2025/4/9 12:53,通常回答,11020070,一般産業機械,ﾕﾆｯﾄ(精密ｽﾃｰｼﾞ・ﾋﾟｴｿﾞｽﾃｰｼﾞ),"ユニット事業に興味あり
設計制作にて高精度案件の話も抱えてるとのことで、対応しきれていない仕事もあるとのこと

",手書きデータ,カタログ希望、情報収集,,,,,,,,,,
556,0008000091_00092_1.jpg,0008000091_00092_2.jpg,2025/4/9 12:55,通常回答,11096201,SIer,SIGNAS,,手書きデータ,カタログ希望、情報収集,,,,,,,,,,
557,0008000091_00093_1.jpg,,2025/4/9 12:57,通常回答,1108958,一般産業機械,アクチュエータ,"アルミベースのアクチュエータを使用してますが、TH以上のアルミベース　アクチュエータを希望あり。
LA,LVのカタログを希望。",手書きデータ,説明員判断でフォローが必要,,,,,,,,,,"アクチュエータ　LA , LVカタログを送って下さい。"
558,0008000091_00094_1.jpg,,2025/4/9 12:59,通常回答,11020519,一般産業機械,アクチュエータ/ﾕﾆｯﾄ(精密ｽﾃｰｼﾞ・ﾋﾟｴｿﾞｽﾃｰｼﾞ),ユニット事業を始めて知り興味,手書きデータ,カタログ希望、情報収集,,,,,,,,,,
559,0008000091_00095_1.jpg,0008000091_00095_2.jpg,2025/4/9 13:06,通常回答,11024061,物流（運輸/倉庫）,要素部品,物流。THKの中国工場で関わりあった。,手書きデータ,挨拶・売込み,,,,,,,,,,
560,0008000091_00096_1.jpg,,2025/4/9 13:08,通常回答,11024061,物流（運輸/倉庫）,アクチュエータ,生産設備の物件紹介をしている会社とのこと。,手書きデータ,挨拶・売込み,,,,,,,,,,
561,0008000091_00097_1.jpg,,2025/4/9 13:08,通常回答,11012066,FAロボット製造業,要素部品/アクチュエータ,"三菱電機の生産設備を担当。
PC PFAEのカタログ希望。
今は第一実業のプレスをよく使っています。",手書きデータ,営業打合せ希望(THK要望)/説明員判断でフォローが必要,,,3ヶ月以内,今回限り,,,,,PC/DSP紹介ﾘｰﾌﾚｯﾄ / L-53,
562,0008000091_00098_1.jpg,,2025/4/9 13:08,通常回答,11024061,物流（運輸/倉庫）,アクチュエータ,生産設備の物件紹介をしている会社とのこと。,手書きデータ,挨拶・売込み,,,,,,,,,,
